(?, 7, 7, 64) (?, 4, 4, 128)
Extracting data from yann.lecun.com/exdb/mnist/
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Data extracted
step 0, training accuracy 0
Total accuracy: 0.00797593450157
step 1000, training accuracy 0.78
step 2000, training accuracy 0.78
step 3000, training accuracy 0.82
step 4000, training accuracy 0.76
step 5000, training accuracy 0.86
step 6000, training accuracy 0.88
step 7000, training accuracy 0.84
step 8000, training accuracy 0.86
step 9000, training accuracy 0.94
step 10000, training accuracy 0.88
Total accuracy: 0.871551345514
step 11000, training accuracy 0.9
step 12000, training accuracy 0.88
step 13000, training accuracy 0.78
step 14000, training accuracy 0.9
step 15000, training accuracy 0.94
step 16000, training accuracy 0.94
step 17000, training accuracy 0.86
step 18000, training accuracy 0.94
step 19000, training accuracy 0.92
step 20000, training accuracy 0.9
Total accuracy: 0.889875369877
step 21000, training accuracy 0.88
step 22000, training accuracy 0.92
step 23000, training accuracy 0.88
step 24000, training accuracy 0.88
step 25000, training accuracy 0.92
step 26000, training accuracy 0.86
step 27000, training accuracy 0.92
step 28000, training accuracy 0.96
step 29000, training accuracy 0.92
step 30000, training accuracy 0.88
Total accuracy: 0.894421998708
step 31000, training accuracy 0.96
step 32000, training accuracy 0.94
step 33000, training accuracy 0.96
step 34000, training accuracy 0.88
step 35000, training accuracy 0.96
step 36000, training accuracy 0.88
step 37000, training accuracy 0.92
step 38000, training accuracy 0.84
step 39000, training accuracy 0.92
step 40000, training accuracy 0.96
Total accuracy: 0.898255260374
step 41000, training accuracy 0.96
step 42000, training accuracy 0.88
step 43000, training accuracy 0.92
step 44000, training accuracy 0.84
step 45000, training accuracy 0.98
step 46000, training accuracy 0.92
step 47000, training accuracy 0.92
step 48000, training accuracy 0.92
step 49000, training accuracy 0.92
step 50000, training accuracy 0.88
Total accuracy: 0.901057151955
step 51000, training accuracy 0.94
step 52000, training accuracy 0.98
step 53000, training accuracy 0.9
step 54000, training accuracy 0.9
step 55000, training accuracy 0.94
step 56000, training accuracy 0.92
step 57000, training accuracy 0.86
step 58000, training accuracy 0.96
step 59000, training accuracy 0.84
step 60000, training accuracy 0.9
Total accuracy: 0.90159002752
step 61000, training accuracy 0.88
step 62000, training accuracy 0.92
step 63000, training accuracy 0.92
step 64000, training accuracy 0.84
step 65000, training accuracy 0.94
step 66000, training accuracy 0.88
step 67000, training accuracy 0.98
step 68000, training accuracy 0.92
step 69000, training accuracy 0.96
step 70000, training accuracy 0.92
Total accuracy: 0.903429305933
step 71000, training accuracy 0.84
step 72000, training accuracy 0.82
step 73000, training accuracy 0.88
step 74000, training accuracy 0.86
step 75000, training accuracy 0.98
step 76000, training accuracy 0.94
step 77000, training accuracy 0.92
step 78000, training accuracy 0.88
step 79000, training accuracy 0.96
step 80000, training accuracy 0.94
Total accuracy: 0.903635579576
step 81000, training accuracy 1
step 82000, training accuracy 0.92
step 83000, training accuracy 0.94
step 84000, training accuracy 0.92
step 85000, training accuracy 0.92
step 86000, training accuracy 0.86
step 87000, training accuracy 0.96
step 88000, training accuracy 0.96
step 89000, training accuracy 0.94
step 90000, training accuracy 0.92
Total accuracy: 0.905062309549
step 91000, training accuracy 0.92
step 92000, training accuracy 0.9
step 93000, training accuracy 0.84
step 94000, training accuracy 0.92
step 95000, training accuracy 0.94
step 96000, training accuracy 0.86
step 97000, training accuracy 0.86
step 98000, training accuracy 0.92
step 99000, training accuracy 0.94
step 100000, training accuracy 0.94
Total accuracy: 0.905999137498
step 101000, training accuracy 0.94
step 102000, training accuracy 0.88
step 103000, training accuracy 0.92
step 104000, training accuracy 0.88
step 105000, training accuracy 0.92
step 106000, training accuracy 0.88
step 107000, training accuracy 0.86
step 108000, training accuracy 0.92
step 109000, training accuracy 0.96
step 110000, training accuracy 0.9
Total accuracy: 0.906660933862
step 111000, training accuracy 0.92
step 112000, training accuracy 0.9
step 113000, training accuracy 0.9
step 114000, training accuracy 0.86
step 115000, training accuracy 0.96
step 116000, training accuracy 0.88
step 117000, training accuracy 0.96
step 118000, training accuracy 0.96
step 119000, training accuracy 0.92
step 120000, training accuracy 0.94
Total accuracy: 0.906867208402
step 121000, training accuracy 0.94
step 122000, training accuracy 0.92
step 123000, training accuracy 0.94
step 124000, training accuracy 0.88
step 125000, training accuracy 1
step 126000, training accuracy 0.94
step 127000, training accuracy 0.86
step 128000, training accuracy 0.88
step 129000, training accuracy 0.94
step 130000, training accuracy 0.98
Total accuracy: 0.906746883248
step 131000, training accuracy 0.96
step 132000, training accuracy 0.92
step 133000, training accuracy 0.88
step 134000, training accuracy 0.94
step 135000, training accuracy 0.94
step 136000, training accuracy 0.92
step 137000, training accuracy 0.92
step 138000, training accuracy 0.94
step 139000, training accuracy 0.88
step 140000, training accuracy 0.94
Total accuracy: 0.906669528535
step 141000, training accuracy 0.88
step 142000, training accuracy 0.84
step 143000, training accuracy 0.86
step 144000, training accuracy 0.96
step 145000, training accuracy 0.94
step 146000, training accuracy 0.9
step 147000, training accuracy 0.96
step 148000, training accuracy 0.94
step 149000, training accuracy 0.94
step 150000, training accuracy 0.92
Total accuracy: 0.907907174363
step 151000, training accuracy 0.92
step 152000, training accuracy 0.92
step 153000, training accuracy 0.96
step 154000, training accuracy 0.94
step 155000, training accuracy 0.92
step 156000, training accuracy 0.92
step 157000, training accuracy 0.96
step 158000, training accuracy 0.96
step 159000, training accuracy 0.94
step 160000, training accuracy 0.9
Total accuracy: 0.907357109402
step 161000, training accuracy 0.94
step 162000, training accuracy 0.9
step 163000, training accuracy 0.86
step 164000, training accuracy 0.88
step 165000, training accuracy 0.9
step 166000, training accuracy 0.9
step 167000, training accuracy 0.94
step 168000, training accuracy 0.92
step 169000, training accuracy 0.84
step 170000, training accuracy 0.9
Total accuracy: 0.908053285147
step 171000, training accuracy 0.9
step 172000, training accuracy 0.88
step 173000, training accuracy 0.94
step 174000, training accuracy 0.92
step 175000, training accuracy 0.96
step 176000, training accuracy 0.98
step 177000, training accuracy 0.94
step 178000, training accuracy 0.92
step 179000, training accuracy 0.92
step 180000, training accuracy 0.96
Total accuracy: 0.908715082639
step 181000, training accuracy 0.88
step 182000, training accuracy 0.94
step 183000, training accuracy 0.9
step 184000, training accuracy 0.96
step 185000, training accuracy 0.92
step 186000, training accuracy 0.9
step 187000, training accuracy 0.88
step 188000, training accuracy 0.94
step 189000, training accuracy 0.94
step 190000, training accuracy 0.96
Total accuracy: 0.909170604541
step 191000, training accuracy 0.92
step 192000, training accuracy 0.92
step 193000, training accuracy 0.96
step 194000, training accuracy 0.96
step 195000, training accuracy 0.96
step 196000, training accuracy 0.92
step 197000, training accuracy 0.92
step 198000, training accuracy 0.96
step 199000, training accuracy 0.96
step 200000, training accuracy 0.88
Total accuracy: 0.908147827514
step 201000, training accuracy 0.92
step 202000, training accuracy 0.92
step 203000, training accuracy 0.94
step 204000, training accuracy 0.94
step 205000, training accuracy 0.9
step 206000, training accuracy 0.92
step 207000, training accuracy 0.96
step 208000, training accuracy 0.92
step 209000, training accuracy 0.82
step 210000, training accuracy 0.94
Total accuracy: 0.907864201361
step 211000, training accuracy 0.88
step 212000, training accuracy 0.94
step 213000, training accuracy 0.9
step 214000, training accuracy 0.88
step 215000, training accuracy 0.94
step 216000, training accuracy 0.98
step 217000, training accuracy 0.94
step 218000, training accuracy 0.86
step 219000, training accuracy 0.92
step 220000, training accuracy 0.98
Total accuracy: 0.9088096237
step 221000, training accuracy 0.94
step 222000, training accuracy 0.96
step 223000, training accuracy 0.86
step 224000, training accuracy 0.96
step 225000, training accuracy 0.9
step 226000, training accuracy 0.98
step 227000, training accuracy 0.94
step 228000, training accuracy 0.96
step 229000, training accuracy 0.92
step 230000, training accuracy 0.94
Total accuracy: 0.907649330843
step 231000, training accuracy 0.92
step 232000, training accuracy 1
step 233000, training accuracy 0.9
step 234000, training accuracy 0.96
step 235000, training accuracy 0.96
step 236000, training accuracy 0.94
step 237000, training accuracy 0.92
step 238000, training accuracy 0.92
step 239000, training accuracy 0.94
step 240000, training accuracy 0.86
Total accuracy: 0.907958743754
step 241000, training accuracy 0.96
step 242000, training accuracy 0.96
step 243000, training accuracy 0.92
step 244000, training accuracy 0.94
step 245000, training accuracy 0.96
step 246000, training accuracy 0.88
step 247000, training accuracy 0.94
step 248000, training accuracy 0.96
step 249000, training accuracy 0.9
step 250000, training accuracy 0.96
Total accuracy: 0.908775244294
step 251000, training accuracy 0.94
step 252000, training accuracy 0.9
step 253000, training accuracy 0.94
step 254000, training accuracy 0.96
step 255000, training accuracy 0.96
step 256000, training accuracy 0.92
step 257000, training accuracy 0.94
step 258000, training accuracy 0.94
step 259000, training accuracy 0.92
step 260000, training accuracy 0.92
Total accuracy: 0.908147826618
